"Gene ID","source_id","Input Order","Organism","Genomic Location (Gene)","Input ID","Search Weight","Computed GO Component IDs","Computed GO Components","Computed GO Function IDs","Computed GO Functions","Computed GO Process IDs","Computed GO Processes","Curated GO Component IDs","Curated GO Components","Curated GO Function IDs","Curated GO Functions","Curated GO Process IDs","Curated GO Processes","EC numbers","EC numbers from OrthoMCL"
"PF3D7_0317300","PF3D7_0317300.1","80","Plasmodium falciparum 3D7","Pf3D7_03_v3:698,789..710,430(-)","PF3D7_0317300","10","N/A","N/A","N/A","N/A","N/A","N/A","GO:0005737;GO:0005789;GO:0016020;GO:0034399;GO:0005634","cytoplasm;endoplasmic reticulum membrane;membrane;nuclear periphery;nucleus","GO:0003700;GO:0005515;GO:0043565","DNA-binding transcription factor activity;protein binding;sequence-specific DNA binding","GO:0045893;GO:0016540","positive regulation of transcription, DNA-templated;protein autoprocessing","N/A","N/A"
"PF3D7_0318300","PF3D7_0318300.1","630","Plasmodium falciparum 3D7","Pf3D7_03_v3:756,194..760,677(-)","PF3D7_0318300","10","GO:0005737;GO:0016021;GO:0016020","cytoplasm;integral component of membrane;membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0401600","PF3D7_0401600.1","1279","Plasmodium falciparum 3D7","Pf3D7_04_v3:92,418..94,121(-)","PF3D7_0401600","10","GO:0016021;GO:0016020","integral component of membrane;membrane","N/A","N/A","N/A","N/A","GO:0020036","Maurer's cleft","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0401600","PF3D7_0401600.2","1279","Plasmodium falciparum 3D7","Pf3D7_04_v3:92,418..94,121(-)","PF3D7_0401600","10","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0404400","PF3D7_0404400.1","1223","Plasmodium falciparum 3D7","Pf3D7_04_v3:238,360..239,499(-)","PF3D7_0404400","10","N/A","N/A","N/A","N/A","N/A","N/A","GO:0046658;GO:0009986;GO:0020009","anchored component of plasma membrane;cell surface;microneme","GO:0005515","protein binding","GO:0044409","entry into host","N/A","N/A"
"PF3D7_0404500","PF3D7_0404500.1","1132","Plasmodium falciparum 3D7","Pf3D7_04_v3:240,911..242,347(-)","PF3D7_0404500","10","N/A","N/A","N/A","N/A","N/A","N/A","GO:0046658;GO:0009986;GO:0020009","anchored component of plasma membrane;cell surface;microneme","N/A","N/A","GO:0044409","entry into host","N/A","N/A"
"PF3D7_0404900","PF3D7_0404900.1","1227","Plasmodium falciparum 3D7","Pf3D7_04_v3:266,566..268,913(-)","PF3D7_0404900","10","N/A","N/A","N/A","N/A","N/A","N/A","GO:0046658;GO:0009986;GO:0020004","anchored component of plasma membrane;cell surface;symbiont-containing vacuolar space","GO:0005515","protein binding","GO:0044409","entry into host","N/A","N/A"
"PF3D7_0408900","PF3D7_0408900.1","927","Plasmodium falciparum 3D7","Pf3D7_04_v3:424,078..427,891(+)","PF3D7_0408900","10","GO:0000408;GO:0016021","EKC/KEOPS complex;integral component of membrane","GO:0016746","acyltransferase activity","GO:0002949","tRNA threonylcarbamoyladenosine modification","GO:0000408;GO:0020011","EKC/KEOPS complex;apicoplast","GO:0003677;GO:0005515","DNA binding;protein binding","N/A","N/A","2.3.1.234 (N(6)-L-threonylcarbamoyladenine synthase);2.6.99.4 (Transferred entry: 2.3.1.234)","2.3.1.234 (N(6)-L-threonylcarbamoyladenine synthase);2.6.99.4 (Transferred entry: 2.3.1.234);3.4.24.57 (O-sialoglycoprotein endopeptidase)"
"PF3D7_0408900","PF3D7_0408900.2","927","Plasmodium falciparum 3D7","Pf3D7_04_v3:424,078..427,891(+)","PF3D7_0408900","10","GO:0000408;GO:0016021","EKC/KEOPS complex;integral component of membrane","GO:0016746","acyltransferase activity","GO:0002949","tRNA threonylcarbamoyladenosine modification","GO:0000408;GO:0020011","EKC/KEOPS complex;apicoplast","N/A","N/A","N/A","N/A","2.3.1.234 (N(6)-L-threonylcarbamoyladenine synthase);2.6.99.4 (Transferred entry: 2.3.1.234)","2.3.1.234 (N(6)-L-threonylcarbamoyladenine synthase);2.6.99.4 (Transferred entry: 2.3.1.234);3.4.24.57 (O-sialoglycoprotein endopeptidase)"
"PF3D7_0414000","PF3D7_0414000.1","581","Plasmodium falciparum 3D7","Pf3D7_04_v3:626,435..633,382(-)","PF3D7_0414000","10","GO:0005694","chromosome","GO:0005524;GO:0005515","ATP binding;protein binding","GO:0051301;GO:0051276","cell division;chromosome organization","GO:0000785;GO:0000775;GO:0000228;GO:0034990;GO:0034399;GO:0005634","chromatin;chromosome, centromeric region;nuclear chromosome;nuclear mitotic cohesin complex;nuclear periphery;nucleus","GO:0005524;GO:0003682;GO:0003680;GO:0005515","ATP binding;chromatin binding;minor groove of adenine-thymine-rich DNA binding;protein binding","GO:0051276;GO:0000070;GO:0006275","chromosome organization;mitotic sister chromatid segregation;regulation of DNA replication","N/A","1.3.1.74 (2-alkenal reductase (NAD(P)(+)))"
"PF3D7_0414200","PF3D7_0414200.1","1546","Plasmodium falciparum 3D7","Pf3D7_04_v3:646,996..648,777(-)","PF3D7_0414200","10","N/A","N/A","GO:0005509","calcium ion binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2.7.11.1 (Non-specific serine/threonine protein kinase)"
"PF3D7_0414200","PF3D7_0414200.2","1546","Plasmodium falciparum 3D7","Pf3D7_04_v3:646,996..648,777(-)","PF3D7_0414200","10","N/A","N/A","GO:0005509","calcium ion binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2.7.11.1 (Non-specific serine/threonine protein kinase)"
"PF3D7_0415000","PF3D7_0415000.1","1224","Plasmodium falciparum 3D7","Pf3D7_04_v3:668,291..669,784(-)","PF3D7_0415000","10","N/A","N/A","GO:0005524;GO:0016887","ATP binding;ATP hydrolysis activity","GO:0045048","protein insertion into ER membrane","GO:0043529;GO:0005829;GO:0005783;GO:0016020","GET complex;cytosol;endoplasmic reticulum;membrane","GO:0016887;GO:0015446;GO:0005515","ATP hydrolysis activity;ATPase-coupled arsenite transmembrane transporter activity;protein binding","GO:0006811;GO:0006620","ion transport;posttranslational protein targeting to endoplasmic reticulum membrane","3.6.-.- (Acting on acid anhydrides.)","1.3.7.7 (Ferredoxin:protochlorophyllide reductase (ATP-dependent));3.6.-.- (Acting on acid anhydrides.);3.6.1.3 (Deleted entry);3.6.3.16 (Transferred entry: 7.3.2.7);7.3.2.7 (Arsenite-transporting ATPase)"
"PF3D7_0417500","PF3D7_0417500.1","1409","Plasmodium falciparum 3D7","Pf3D7_04_v3:776,801..779,987(-)","PF3D7_0417500","10","N/A","N/A","N/A","N/A","N/A","N/A","GO:0005634","nucleus","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0420300","PF3D7_0420300.1","72","Plasmodium falciparum 3D7","Pf3D7_04_v3:915,895..928,649(+)","PF3D7_0420300","10","GO:0005634","nucleus","GO:0003677;GO:0003700","DNA binding;DNA-binding transcription factor activity","GO:0006355","regulation of transcription, DNA-templated","GO:0005634","nucleus","GO:0005515;GO:0043565","protein binding;sequence-specific DNA binding","N/A","N/A","N/A","N/A"
"PF3D7_0423600","PF3D7_0423600.1","401","Plasmodium falciparum 3D7","Pf3D7_04_v3:1,061,719..1,067,023(-)","PF3D7_0423600","10","GO:0005737;GO:0016021","cytoplasm;integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0501100","PF3D7_0501100.1","1190","Plasmodium falciparum 3D7","Pf3D7_05_v3:57,729..62,476(-)","PF3D7_0501100","10","GO:0016021","integral component of membrane","GO:0051082","unfolded protein binding","GO:0006457","protein folding","GO:0005829;GO:0044164","cytosol;host cell cytosol","GO:0001671;GO:0051087;GO:0005515;GO:0051082","ATPase activator activity;chaperone binding;protein binding;unfolded protein binding","GO:0051085;GO:0032781","chaperone cofactor-dependent protein refolding;positive regulation of ATP-dependent activity","N/A","N/A"
"PF3D7_0501100","PF3D7_0501100.2","1190","Plasmodium falciparum 3D7","Pf3D7_05_v3:57,729..62,476(-)","PF3D7_0501100","10","GO:0016021","integral component of membrane","GO:0051082","unfolded protein binding","GO:0006457","protein folding","GO:0005829","cytosol","GO:0051087;GO:0051082","chaperone binding;unfolded protein binding","GO:0051085","chaperone cofactor-dependent protein refolding","N/A","N/A"
"PF3D7_0502000","PF3D7_0502000.1","545","Plasmodium falciparum 3D7","Pf3D7_05_v3:97,199..102,279(+)","PF3D7_0502000","10","GO:0016021","integral component of membrane","N/A","N/A","GO:0006886;GO:0016192","intracellular protein transport;vesicle-mediated transport","GO:0030897;GO:0005768;GO:0016020;GO:0005634","HOPS complex;endosome;membrane;nucleus","GO:0030674;GO:0008270","protein-macromolecule adaptor activity;zinc ion binding","GO:0007032;GO:0006886;GO:0035542;GO:0007033;GO:0006904;GO:0016192","endosome organization;intracellular protein transport;regulation of SNARE complex assembly;vacuole organization;vesicle docking involved in exocytosis;vesicle-mediated transport","N/A","2.3.2.27 (RING-type E3 ubiquitin transferase)"
"PF3D7_0503400","PF3D7_0503400.1","1554","Plasmodium falciparum 3D7","Pf3D7_05_v3:139,481..142,206(+)","PF3D7_0503400","10","GO:0015629","actin cytoskeleton","GO:0003779","actin binding","GO:0030042","actin filament depolymerization","GO:0015629;GO:0005737;GO:0005829;GO:0005634","actin cytoskeleton;cytoplasm;cytosol;nucleus","GO:0051015;GO:0003785","actin filament binding;actin monomer binding","GO:0030036;GO:0030042;GO:0051014;GO:0048870;GO:0060327","actin cytoskeleton organization;actin filament depolymerization;actin filament severing;cell motility;cytoplasmic actin-based contraction involved in cell motility","N/A","N/A"
"PF3D7_0508000","PF3D7_0508000.1","1276","Plasmodium falciparum 3D7","Pf3D7_05_v3:328,346..330,436(-)","PF3D7_0508000","10","N/A","N/A","N/A","N/A","N/A","N/A","GO:0046658;GO:0009986;GO:0020009","anchored component of plasma membrane;cell surface;microneme","GO:0046812;GO:0005515","host cell surface binding;protein binding","GO:0044409","entry into host","N/A","N/A"
"PF3D7_0511000","PF3D7_0511000.1","1527","Plasmodium falciparum 3D7","Pf3D7_05_v3:467,139..468,451(-)","PF3D7_0511000","10","N/A","N/A","N/A","N/A","N/A","N/A","GO:0005737;GO:0020020","cytoplasm;food vacuole","GO:0005509","calcium ion binding","GO:0032715","negative regulation of interleukin-6 production","N/A","N/A"
"PF3D7_0511500","PF3D7_0511500.1","3","Plasmodium falciparum 3D7","Pf3D7_05_v3:484,937..517,423(+)","PF3D7_0511500","10","GO:0016021","integral component of membrane","GO:0003723;GO:0005515;GO:0009982","RNA binding;protein binding;pseudouridine synthase activity","GO:0009451;GO:0001522","RNA modification;pseudouridine synthesis","GO:0005634","nucleus","GO:0003729","mRNA binding","N/A","N/A","5.4.99.12 (tRNA pseudouridine(38-40) synthase)","N/A"
"PF3D7_0512000","PF3D7_0512000.1","1559","Plasmodium falciparum 3D7","Pf3D7_05_v3:527,485..528,969(+)","PF3D7_0512000","10","GO:0016272","prefoldin complex","GO:0051082","unfolded protein binding","GO:0006457","protein folding","GO:0005737;GO:0016272;GO:0020005","cytoplasm;prefoldin complex;symbiont-containing vacuole membrane","GO:0051087;GO:0005515","chaperone binding;protein binding","GO:0051131;GO:0006457","chaperone-mediated protein complex assembly;protein folding","N/A","N/A"
"PF3D7_0520900","PF3D7_0520900.1","1131","Plasmodium falciparum 3D7","Pf3D7_05_v3:856,500..859,367(+)","PF3D7_0520900","10","N/A","N/A","GO:0004013","adenosylhomocysteinase activity","GO:0006730","one-carbon metabolic process","GO:0020036;GO:0005829;GO:0005622","Maurer's cleft;cytosol;intracellular","GO:0004013;GO:0005515","adenosylhomocysteinase activity;protein binding","GO:0033353","S-adenosylmethionine cycle","3.3.1.1 (Adenosylhomocysteinase)","2.1.-.- (Transferring one-carbon groups.);2.1.1.135 (Transferred entry: 1.16.1.8);2.1.2.9 (Methionyl-tRNA formyltransferase);3.3.1.1 (Adenosylhomocysteinase)"
"PF3D7_0526200","PF3D7_0526200.1","1106","Plasmodium falciparum 3D7","Pf3D7_05_v3:1,081,123..1,084,702(-)","PF3D7_0526200","10","N/A","N/A","GO:0005096","GTPase activator activity","N/A","N/A","N/A","N/A","GO:0005096","GTPase activator activity","N/A","N/A","N/A","3.1.3.16 (Protein-serine/threonine phosphatase);3.1.3.48 (Protein-tyrosine-phosphatase)"
"PF3D7_0526200","PF3D7_0526200.2","1106","Plasmodium falciparum 3D7","Pf3D7_05_v3:1,081,123..1,084,702(-)","PF3D7_0526200","10","N/A","N/A","GO:0005096","GTPase activator activity","N/A","N/A","N/A","N/A","GO:0005096","GTPase activator activity","N/A","N/A","N/A","3.1.3.16 (Protein-serine/threonine phosphatase);3.1.3.48 (Protein-tyrosine-phosphatase)"
"PF3D7_0529000","PF3D7_0529000.1","913","Plasmodium falciparum 3D7","Pf3D7_05_v3:1,186,294..1,190,130(-)","PF3D7_0529000","10","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","GO:0020011;GO:0009986;GO:0044228","apicoplast;cell surface;host cell surface","N/A","N/A","N/A","N/A","N/A","3.1.1.3 (Triacylglycerol lipase)"
"PF3D7_0529400","PF3D7_0529400.1","408","Plasmodium falciparum 3D7","Pf3D7_05_v3:1,198,563..1,205,743(+)","PF3D7_0529400","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0529400","PF3D7_0529400.2","408","Plasmodium falciparum 3D7","Pf3D7_05_v3:1,198,563..1,205,743(+)","PF3D7_0529400","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0600600","PF3D7_0600600.1","1157","Plasmodium falciparum 3D7","Pf3D7_06_v3:29,618..31,484(-)","PF3D7_0600600","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"PF3D7_0603300","PF3D7_0603300.1","1058","Plasmodium falciparum 3D7","Pf3D7_06_v3:130,191..132,792(-)","PF3D7_0603300","10","GO:0005737;GO:0016021;GO:0016020","cytoplasm;integral component of membrane;membrane","GO:0003824;GO:0004152;GO:0016627","catalytic activity;dihydroorotate dehydrogenase activity;oxidoreductase activity, acting on the CH-CH group of donors","GO:0044205;GO:0006207;GO:0055114","'de novo' UMP biosynthetic process;'de novo' pyrimidine nucleobase biosynthetic process;oxidation-reduction process","GO:0005743;GO:0005739","mitochondrial inner membrane;mitochondrion","GO:0004152","dihydroorotate dehydrogenase activity","GO:0006207;GO:0009220;GO:0042493;GO:0009410","'de novo' pyrimidine nucleobase biosynthetic process;pyrimidine ribonucleotide biosynthetic process;response to drug;response to xenobiotic stimulus","1.3.5.2 (Dihydroorotate dehydrogenase (quinone))","1.3.-.- (Acting on the CH-CH group of donors.);1.3.1.14 (Dihydroorotate dehydrogenase (NAD(+)));1.3.3.1 (Transferred entry: 1.3.98.1);1.3.5.2 (Dihydroorotate dehydrogenase (quinone));1.3.98.1 (Dihydroorotate oxidase (fumarate))"
