From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	Developmental stage	Induction	Tissue specificity
A0A0C7T109	A0A0C7T109	unreviewed	A0A0C7T109_EBVG	Inner tegument protein	BOLF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1240	microtubule-dependent intracellular transport of viral material towards cell periphery [GO:0039701]; virion assembly [GO:0019068]	host cell Golgi apparatus [GO:0044177]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]	host cell Golgi apparatus [GO:0044177]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]; identical protein binding [GO:0042802]; microtubule-dependent intracellular transport of viral material towards cell periphery [GO:0039701]; virion assembly [GO:0019068]	identical protein binding [GO:0042802]	GO:0019033; GO:0019068; GO:0039701; GO:0042025; GO:0042802; GO:0044177			
A0A0B6VHF5	A0A0B6VHF5	unreviewed	A0A0B6VHF5_EBVG	Major tegument protein	BNRF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1194	intracellular transport of virus [GO:0075733]	host cell [GO:0043657]; viral tegument [GO:0019033]	host cell [GO:0043657]; viral tegument [GO:0019033]; intracellular transport of virus [GO:0075733]		GO:0019033; GO:0043657; GO:0075733			
I1YP08	I1YP08	unreviewed	I1YP08_EBVG	Inner tegument protein	BOLF1 HHV4_BOLF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1173	microtubule-dependent intracellular transport of viral material towards cell periphery [GO:0039701]; virion assembly [GO:0019068]	host cell Golgi apparatus [GO:0044177]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]	host cell Golgi apparatus [GO:0044177]; host cell nucleus [GO:0042025]; viral tegument [GO:0019033]; identical protein binding [GO:0042802]; microtubule-dependent intracellular transport of viral material towards cell periphery [GO:0039701]; virion assembly [GO:0019068]	identical protein binding [GO:0042802]	GO:0019033; GO:0019068; GO:0039701; GO:0042025; GO:0042802; GO:0044177			
A4ZCW8	A4ZCW8	reviewed	RDRP_ROTHW	RNA-directed RNA polymerase (EC 2.7.7.48) (Protein VP1)		Rotavirus A (strain RVA/Human/United States/Wa/1974/G1P1A[8]) (RV-A)	1088	DNA-templated transcription [GO:0006351]; viral genome replication [GO:0019079]	virion component [GO:0044423]	virion component [GO:0044423]; nucleotide binding [GO:0000166]; RNA binding [GO:0003723]; RNA-dependent RNA polymerase activity [GO:0003968]; DNA-templated transcription [GO:0006351]; viral genome replication [GO:0019079]	nucleotide binding [GO:0000166]; RNA binding [GO:0003723]; RNA-dependent RNA polymerase activity [GO:0003968]	GO:0000166; GO:0003723; GO:0003968; GO:0006351; GO:0019079; GO:0044423			
A7J3A6	A7J3A6	reviewed	RDRP_ROTHD	RNA-directed RNA polymerase (EC 2.7.7.48) (Protein VP1)		Rotavirus A (strain RVA/Human/United States/DS-1/1976/G2P1B[4]) (RV-A) (Rotavirus A (strain DS1))	1088	DNA-templated transcription [GO:0006351]; viral genome replication [GO:0019079]	virion component [GO:0044423]	virion component [GO:0044423]; nucleotide binding [GO:0000166]; RNA binding [GO:0003723]; RNA-dependent RNA polymerase activity [GO:0003968]; DNA-templated transcription [GO:0006351]; viral genome replication [GO:0019079]	nucleotide binding [GO:0000166]; RNA binding [GO:0003723]; RNA-dependent RNA polymerase activity [GO:0003968]	GO:0000166; GO:0003723; GO:0003968; GO:0006351; GO:0019079; GO:0044423			
A0A0C7TX23	A0A0C7TX23	unreviewed	A0A0C7TX23_EBVG	EBNA-3C	EBNA-3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1083	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7TS55	A0A0C7TS55	unreviewed	A0A0C7TS55_EBVG	EBNA-3C	EBNA-3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1083	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0U3U7C3	A0A0U3U7C3	unreviewed	A0A0U3U7C3_EBVG	EBNA3C	EBNA3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1061	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7TDV0	A0A0C7TDV0	unreviewed	A0A0C7TDV0_EBVG	EBNA-3C	EBNA-3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1059	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7TCY0	A0A0C7TCY0	unreviewed	A0A0C7TCY0_EBVG	EBNA-3C	EBNA-3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1057	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7TLL5	A0A0C7TLL5	unreviewed	A0A0C7TLL5_EBVG	EBNA-3C	EBNA-3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1049	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A125T0X3	A0A125T0X3	unreviewed	A0A125T0X3_EBVG	EBNA3C nuclear protein	EBNA3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1046	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7TX65	A0A0C7TX65	unreviewed	A0A0C7TX65_EBVG	EBNA-3C	EBNA-3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1044	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7U0Q1	A0A0C7U0Q1	unreviewed	A0A0C7U0Q1_EBVG	EBNA-3C	EBNA-3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1044	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7TMP8	A0A0C7TMP8	unreviewed	A0A0C7TMP8_EBVG	EBNA-3C	EBNA-3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1038	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0U3TZE4	A0A0U3TZE4	unreviewed	A0A0U3TZE4_EBVG	EBNA3C	EBNA3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1035	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7TTV2	A0A0C7TTV2	unreviewed	A0A0C7TTV2_EBVG	EBNA-3C	EBNA-3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1031	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0U3THE3	A0A0U3THE3	unreviewed	A0A0U3THE3_EBVG	EBNA3C (EBNA3C nuclear protein)	EBNA3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1029	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0U3TY20	A0A0U3TY20	unreviewed	A0A0U3TY20_EBVG	EBNA3C	EBNA3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1027	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7SYE0	A0A0C7SYE0	unreviewed	A0A0C7SYE0_EBVG	EBNA-3C	EBNA-3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1018	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0U2IVT5	A0A0U2IVT5	unreviewed	A0A0U2IVT5_EBVG	EBNA3C	EBNA3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1009	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7U0B5	A0A0C7U0B5	unreviewed	A0A0C7U0B5_EBVG	EBNA-3C	EBNA-3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	1005	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0S2YR37	A0A0S2YR37	unreviewed	A0A0S2YR37_EBVG	EBNA3C latent protein	EBNA3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	993	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7TTG8	A0A0C7TTG8	unreviewed	A0A0C7TTG8_EBVG	EBNA-3C	EBNA-3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	992	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7TI95	A0A0C7TI95	unreviewed	A0A0C7TI95_EBVG	EBNA-3C	EBNA-3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	992	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0S2YQU4	A0A0S2YQU4	unreviewed	A0A0S2YQU4_EBVG	EBNA3C latent protein	EBNA3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	992	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0X8W0R4	A0A0X8W0R4	unreviewed	A0A0X8W0R4_EBVG	EBNA3C latent protein	EBNA3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	992	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0S2YQE3	A0A0S2YQE3	unreviewed	A0A0S2YQE3_EBVG	EBNA3C latent protein	EBNA3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	992	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A075FCN8	A0A075FCN8	unreviewed	A0A075FCN8_EBVG	EBNA-3C	EBNA-3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	990	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A125T157	A0A125T157	unreviewed	A0A125T157_EBVG	EBNA3C latent protein (EBNA3C nuclear protein)	EBNA3C YCCEL1_029	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	988	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7TNU2	A0A0C7TNU2	unreviewed	A0A0C7TNU2_EBVG	EBNA-3C	EBNA-3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	986	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0U3K2A9	A0A0U3K2A9	unreviewed	A0A0U3K2A9_EBVG	EBNA3C	EBNA3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	983	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
I1YP21	I1YP21	unreviewed	I1YP21_EBVG	EBNA-3C	EBNA-3B EBNA-3C HHV4_EBNA-3B/EBNA-3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	967	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
Q1HVG4	Q1HVG4	reviewed	EBNA4_EBVA8	Epstein-Barr nuclear antigen 4 (EBNA-4) (EBV nuclear antigen 4) (Epstein-Barr nuclear antigen 3B) (EBNA-3B) (EBV nuclear antigen 3B)	EBNA4 BERF2A-BERF2B	Epstein-Barr virus (strain AG876) (HHV-4) (Human herpesvirus 4)	946	viral process [GO:0016032]	host cell nucleus [GO:0042025]	host cell nucleus [GO:0042025]; viral process [GO:0016032]		GO:0016032; GO:0042025			
A0A0C7T8W5	A0A0C7T8W5	unreviewed	A0A0C7T8W5_EBVG	EBNA-3B	EBNA-3B	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	946	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7T5F6	A0A0C7T5F6	unreviewed	A0A0C7T5F6_EBVG	EBNA-3B	EBNA-3B	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	946	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7T689	A0A0C7T689	unreviewed	A0A0C7T689_EBVG	EBNA-3B	EBNA-3B	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	946	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
K9UT27	K9UT27	unreviewed	K9UT27_EBVG	EBNA-3A	EBNA-3A	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	944	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7TRR5	A0A0C7TRR5	unreviewed	A0A0C7TRR5_EBVG	EBNA-3A (EBNA-3A protein) (EBNA3A nuclear protein) (Nuclear antigen EBNA-3A)	EBNA-3A EBNA3A	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	944	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7T9C3	A0A0C7T9C3	unreviewed	A0A0C7T9C3_EBVG	EBNA-3A	EBNA-3A	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	944	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7TMS7	A0A0C7TMS7	unreviewed	A0A0C7TMS7_EBVG	EBNA-3B	EBNA-3B	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	940	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
Q3KST1	Q3KST1	reviewed	EBNA4_EBVG	Epstein-Barr nuclear antigen 4 (EBNA-4) (EBV nuclear antigen 4) (Epstein-Barr nuclear antigen 3B) (EBNA-3B) (EBV nuclear antigen 3B)	EBNA4 BERF2A-BERF2B	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	938	viral process [GO:0016032]	host cell nucleus [GO:0042025]	host cell nucleus [GO:0042025]; viral process [GO:0016032]		GO:0016032; GO:0042025			
A0A0C7TRE1	A0A0C7TRE1	unreviewed	A0A0C7TRE1_EBVG	EBNA-3B	EBNA-3B	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	938	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7TQF9	A0A0C7TQF9	unreviewed	A0A0C7TQF9_EBVG	EBNA-3B	EBNA-3B	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	938	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7U239	A0A0C7U239	unreviewed	A0A0C7U239_EBVG	EBNA-3B	EBNA-3B	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	938	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7THW3	A0A0C7THW3	unreviewed	A0A0C7THW3_EBVG	EBNA-3B	EBNA-3B	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	938	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7TGF7	A0A0C7TGF7	unreviewed	A0A0C7TGF7_EBVG	EBNA-3B	EBNA-3B	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	938	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0X8WSM4	A0A0X8WSM4	unreviewed	A0A0X8WSM4_EBVG	EBNA-3B nuclear protein	EBNA3B	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	938	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0S2YR40	A0A0S2YR40	unreviewed	A0A0S2YR40_EBVG	EBNA-3B nuclear protein	EBNA3B	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	938	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7SX58	A0A0C7SX58	unreviewed	A0A0C7SX58_EBVG	EBNA-3A	EBNA-3A	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	938	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A075FFW1	A0A075FFW1	unreviewed	A0A075FFW1_EBVG	EBNA-3B	EBNA-3B	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	938	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7THR7	A0A0C7THR7	unreviewed	A0A0C7THR7_EBVG	EBNA-3B	EBNA-3B	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	938	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7P5U3	A0A0C7P5U3	unreviewed	A0A0C7P5U3_EBVG	EBNA-3B	EBNA-3B	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	938	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0F6QKH9	A0A0F6QKH9	unreviewed	A0A0F6QKH9_EBVG	LF3 protein	LF3	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	927								
A0A0S2YQX1	A0A0S2YQX1	unreviewed	A0A0S2YQX1_EBVG	LF3 protein	LF3	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	924								
A0A0X8XB82	A0A0X8XB82	unreviewed	A0A0X8XB82_EBVG	LF3 protein	LF3	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	924								
A0A0X8W7I3	A0A0X8W7I3	unreviewed	A0A0X8W7I3_EBVG	LF3 protein	LF3	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	919								
I1YP20	I1YP20	unreviewed	I1YP20_EBVG	EBNA-3B (EBNA-3B nuclear protein)	EBNA-3B EBNA-3C EBNA3B EBVaGC1_025 HHV4_EBNA-3B/EBNA-3C	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	918	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7SZV7	A0A0C7SZV7	unreviewed	A0A0C7SZV7_EBVG	EBNA-3B	EBNA-3B	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	912	viral process [GO:0016032]		viral process [GO:0016032]		GO:0016032			
A0A0C7TAZ4	A0A0C7TAZ4	unreviewed	A0A0C7TAZ4_EBVG	BLLF1	BLLF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	907		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020			
A0A0C7T4N8	A0A0C7T4N8	unreviewed	A0A0C7T4N8_EBVG	BLLF1	BLLF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	907		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020			
A0A1D7MBX8	A0A1D7MBX8	unreviewed	A0A1D7MBX8_EBVG	Envelope glycoprotein gp350	BLLF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	907		membrane [GO:0016020]; viral envelope [GO:0019031]	membrane [GO:0016020]; viral envelope [GO:0019031]		GO:0016020; GO:0019031			
A0A0S2YR95	A0A0S2YR95	unreviewed	A0A0S2YR95_EBVG	Envelope glycoprotein gp350	BLLF1 HHV4_BLLF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	907		membrane [GO:0016020]; viral envelope [GO:0019031]	membrane [GO:0016020]; viral envelope [GO:0019031]		GO:0016020; GO:0019031			
A0A0S2YR20	A0A0S2YR20	unreviewed	A0A0S2YR20_EBVG	Envelope glycoprotein gp350	BLLF1 HHV4_BLLF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	907		membrane [GO:0016020]; viral envelope [GO:0019031]	membrane [GO:0016020]; viral envelope [GO:0019031]		GO:0016020; GO:0019031			
A0A0S2YQK9	A0A0S2YQK9	unreviewed	A0A0S2YQK9_EBVG	Envelope glycoprotein gp350	BLLF1 HHV4_BLLF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	907		membrane [GO:0016020]; viral envelope [GO:0019031]	membrane [GO:0016020]; viral envelope [GO:0019031]		GO:0016020; GO:0019031			
A0A0X9C5S1	A0A0X9C5S1	unreviewed	A0A0X9C5S1_EBVG	Envelope glycoprotein gp350	BLLF1 HHV4_BLLF1	Epstein-Barr virus (strain GD1) (HHV-4) (Human herpesvirus 4)	907		membrane [GO:0016020]; viral envelope [GO:0019031]	membrane [GO:0016020]; viral envelope [GO:0019031]		GO:0016020; GO:0019031			
