From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	Developmental stage	Induction	Tissue specificity
PF3D7_1149000	Q8IHN4	unreviewed	Q8IHN4_PLAF7	Antigen 332, DBL-like protein	PF3D7_1149000	Plasmodium falciparum (isolate 3D7)	6093	cell-cell adhesion [GO:0098609]	host cell membrane [GO:0033644]; Maurer's cleft [GO:0020036]	host cell membrane [GO:0033644]; Maurer's cleft [GO:0020036]; host cell surface receptor binding [GO:0046789]; cell-cell adhesion [GO:0098609]	host cell surface receptor binding [GO:0046789]	GO:0020036; GO:0033644; GO:0046789; GO:0098609			
PF3D7_0609000	C6KST7	unreviewed	C6KST7_PLAF7	Nucleoporin NUP637, putative	PF3D7_0609000	Plasmodium falciparum (isolate 3D7)	6077								
PF3D7_0804500	A0A143ZZV5	unreviewed	A0A143ZZV5_PLAF7	PPM-type phosphatase domain-containing protein	PF3D7_0804500	Plasmodium falciparum (isolate 3D7)	6034	vacuolar acidification [GO:0007035]	membrane [GO:0016020]; RAVE complex [GO:0043291]	membrane [GO:0016020]; RAVE complex [GO:0043291]; vacuolar acidification [GO:0007035]		GO:0007035; GO:0016020; GO:0043291			
PF3D7_1346400	C0H5H6	unreviewed	C0H5H6_PLAF7	VPS13 domain-containing protein, putative	PF3D7_1346400	Plasmodium falciparum (isolate 3D7)	5988	protein retention in Golgi apparatus [GO:0045053]; protein targeting to vacuole [GO:0006623]	extrinsic component of membrane [GO:0019898]	extrinsic component of membrane [GO:0019898]; protein retention in Golgi apparatus [GO:0045053]; protein targeting to vacuole [GO:0006623]		GO:0006623; GO:0019898; GO:0045053			
PF3D7_1113000	Q8IIN2	unreviewed	Q8IIN2_PLAF7	FPL domain-containing protein	PF3D7_1113000	Plasmodium falciparum (isolate 3D7)	5922								
PF3D7_1475400	Q8IK84	unreviewed	Q8IK84_PLAF7	Cysteine repeat modular protein 4	PF3D7_1475400	Plasmodium falciparum (isolate 3D7)	5906	intracellular receptor signaling pathway [GO:0030522]; intracellular transport [GO:0046907]; mRNA processing [GO:0006397]	membrane [GO:0016020]	membrane [GO:0016020]; ubiquitin protein ligase activity [GO:0061630]; intracellular receptor signaling pathway [GO:0030522]; intracellular transport [GO:0046907]; mRNA processing [GO:0006397]	ubiquitin protein ligase activity [GO:0061630]	GO:0006397; GO:0016020; GO:0030522; GO:0046907; GO:0061630			
PF3D7_0718000	C0H4N5	unreviewed	C0H4N5_PLAF7	Dynein heavy chain, putative	PF3D7_0718000	Plasmodium falciparum (isolate 3D7)	5846	microtubule-based movement [GO:0007018]	dynein complex [GO:0030286]; membrane [GO:0016020]	dynein complex [GO:0030286]; membrane [GO:0016020]; ATP binding [GO:0005524]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; minus-end-directed microtubule motor activity [GO:0008569]; microtubule-based movement [GO:0007018]	ATP binding [GO:0005524]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; minus-end-directed microtubule motor activity [GO:0008569]	GO:0005524; GO:0007018; GO:0008569; GO:0016020; GO:0030286; GO:0045505; GO:0051959			
PF3D7_1025500	Q8IJE8	unreviewed	Q8IJE8_PLAF7	Dynein_C domain-containing protein	PF3D7_1025500	Plasmodium falciparum (isolate 3D7)	5767		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020			
PF3D7_1202300	A0A144A1B4	unreviewed	A0A144A1B4_PLAF7	Dynein heavy chain, putative	PF3D7_1202300	Plasmodium falciparum (isolate 3D7)	5718	microtubule-based movement [GO:0007018]	axoneme [GO:0005930]; dynein complex [GO:0030286]	axoneme [GO:0005930]; dynein complex [GO:0030286]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; minus-end-directed microtubule motor activity [GO:0008569]; microtubule-based movement [GO:0007018]	dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; minus-end-directed microtubule motor activity [GO:0008569]	GO:0005930; GO:0007018; GO:0008569; GO:0030286; GO:0045505; GO:0051959			
PF3D7_1023100	Q8IJH4	unreviewed	Q8IJH4_PLAF7	Dynein heavy chain, putative	PF3D7_1023100	Plasmodium falciparum (isolate 3D7)	5687	microtubule-based movement [GO:0007018]; microtubule-based process [GO:0007017]	axoneme [GO:0005930]; dynein complex [GO:0030286]; microtubule [GO:0005874]	axoneme [GO:0005930]; dynein complex [GO:0030286]; microtubule [GO:0005874]; ATP binding [GO:0005524]; cytoskeletal motor activity [GO:0003774]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; microtubule motor activity [GO:0003777]; minus-end-directed microtubule motor activity [GO:0008569]; microtubule-based movement [GO:0007018]; microtubule-based process [GO:0007017]	ATP binding [GO:0005524]; cytoskeletal motor activity [GO:0003774]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; microtubule motor activity [GO:0003777]; minus-end-directed microtubule motor activity [GO:0008569]	GO:0003774; GO:0003777; GO:0005524; GO:0005874; GO:0005930; GO:0007017; GO:0007018; GO:0008569; GO:0030286; GO:0045505; GO:0051959			
PF3D7_0504800	C0H4C4	unreviewed	C0H4C4_PLAF7	ERYTHROCYTE MEMBRANE PROTEIN PFEMP3	PF3D7_0504800	Plasmodium falciparum (isolate 3D7)	5639		nucleolus [GO:0005730]	nucleolus [GO:0005730]		GO:0005730			
PF3D7_0728100	Q8IBH6	unreviewed	Q8IBH6_PLAF7	Anaphase-promoting complex subunit 1, putative	PF3D7_0728100	Plasmodium falciparum (isolate 3D7)	5561	anaphase-promoting complex-dependent catabolic process [GO:0031145]; metaphase/anaphase transition of mitotic cell cycle [GO:0007091]; protein K11-linked ubiquitination [GO:0070979]	anaphase-promoting complex [GO:0005680]; membrane [GO:0016020]	anaphase-promoting complex [GO:0005680]; membrane [GO:0016020]; molecular adaptor activity [GO:0060090]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; metaphase/anaphase transition of mitotic cell cycle [GO:0007091]; protein K11-linked ubiquitination [GO:0070979]	molecular adaptor activity [GO:0060090]	GO:0005680; GO:0007091; GO:0016020; GO:0031145; GO:0060090; GO:0070979			
PF3D7_1233600	Q8I586	unreviewed	Q8I586_PLAF7	Asparagine and aspartate rich protein 1	PF3D7_1233600	Plasmodium falciparum (isolate 3D7)	5439			zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]	GO:0008270			
PF3D7_1324300	Q8IE74	unreviewed	Q8IE74_PLAF7	C3H1-type domain-containing protein	PF3D7_1324300	Plasmodium falciparum (isolate 3D7)	5415		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020			
PF3D7_0729900	Q8IBG1	reviewed	DYHC1_PLAF7	Dynein heavy chain-like protein 1	MAL7P1.162 PF3D7_0729900	Plasmodium falciparum (isolate 3D7)	5065	cytoplasmic microtubule organization [GO:0031122]; establishment of spindle localization [GO:0051293]; microtubule-based movement [GO:0007018]; minus-end-directed vesicle transport along microtubule [GO:0072382]; mitotic cell cycle [GO:0000278]; nuclear migration [GO:0007097]	cell cortex [GO:0005938]; cytoplasmic dynein complex [GO:0005868]; cytoplasmic microtubule [GO:0005881]; dynein complex [GO:0030286]; microtubule associated complex [GO:0005875]	cell cortex [GO:0005938]; cytoplasmic dynein complex [GO:0005868]; cytoplasmic microtubule [GO:0005881]; dynein complex [GO:0030286]; microtubule associated complex [GO:0005875]; ATP binding [GO:0005524]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; microtubule motor activity [GO:0003777]; minus-end-directed microtubule motor activity [GO:0008569]; cytoplasmic microtubule organization [GO:0031122]; establishment of spindle localization [GO:0051293]; microtubule-based movement [GO:0007018]; minus-end-directed vesicle transport along microtubule [GO:0072382]; mitotic cell cycle [GO:0000278]; nuclear migration [GO:0007097]	ATP binding [GO:0005524]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; microtubule motor activity [GO:0003777]; minus-end-directed microtubule motor activity [GO:0008569]	GO:0000278; GO:0003777; GO:0005524; GO:0005868; GO:0005875; GO:0005881; GO:0005938; GO:0007018; GO:0007097; GO:0008569; GO:0030286; GO:0031122; GO:0045505; GO:0051293; GO:0051959; GO:0072382	DEVELOPMENTAL STAGE: Expressed during the asexual cell-cycle on the cell surface of the host erythrocytes. {ECO:0000269|PubMed:17653272}.		
PF3D7_0419900	B9ZSJ6	unreviewed	B9ZSJ6_PLAF7	Phosphatidylinositol 4-kinase, putative (EC 2.7.1.67)	PF3D7_0419900	Plasmodium falciparum (isolate 3D7)	5035	phosphatidylinositol phosphate biosynthetic process [GO:0046854]; phosphatidylinositol-mediated signaling [GO:0048015]; phosphorylation [GO:0016310]	cytoplasm [GO:0005737]; membrane [GO:0016020]	cytoplasm [GO:0005737]; membrane [GO:0016020]; 1-phosphatidylinositol 4-kinase activity [GO:0004430]; phosphatidylinositol kinase activity [GO:0052742]; phosphatidylinositol phosphate biosynthetic process [GO:0046854]; phosphatidylinositol-mediated signaling [GO:0048015]; phosphorylation [GO:0016310]	1-phosphatidylinositol 4-kinase activity [GO:0004430]; phosphatidylinositol kinase activity [GO:0052742]	GO:0004430; GO:0005737; GO:0016020; GO:0016310; GO:0046854; GO:0048015; GO:0052742			
PF3D7_0318500	O77372	unreviewed	O77372_PLAF7	Symplekin_C domain-containing protein	PF3D7_0318500	Plasmodium falciparum (isolate 3D7)	4981		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020			
PF3D7_0726400	C0H4P4	unreviewed	C0H4P4_PLAF7	Vacuolar protein sorting-associated protein 16	PF3D7_0726400	Plasmodium falciparum (isolate 3D7)	4944		membrane [GO:0016020]	membrane [GO:0016020]; 5'-flap endonuclease activity [GO:0017108]	5'-flap endonuclease activity [GO:0017108]	GO:0016020; GO:0017108			
PF3D7_0418000	C0H4B3	unreviewed	C0H4B3_PLAF7	PIH1 domain-containing protein	PF3D7_0418000	Plasmodium falciparum (isolate 3D7)	4891	positive regulation of DNA-templated transcription [GO:0045893]; protein autoprocessing [GO:0016540]	endoplasmic reticulum membrane [GO:0005789]; nucleus [GO:0005634]	endoplasmic reticulum membrane [GO:0005789]; nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; positive regulation of DNA-templated transcription [GO:0045893]; protein autoprocessing [GO:0016540]	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	GO:0003700; GO:0005634; GO:0005789; GO:0016540; GO:0043565; GO:0045893			
PF3D7_0801900	C0H4R0	unreviewed	C0H4R0_PLAF7	Lysine-specific histone demethylase, putative	PF3D7_0801900	Plasmodium falciparum (isolate 3D7)	4662			oxidoreductase activity [GO:0016491]; polyamine oxidase activity [GO:0046592]	oxidoreductase activity [GO:0016491]; polyamine oxidase activity [GO:0046592]	GO:0016491; GO:0046592			
PF3D7_1417600	Q8ILR9	reviewed	YPF17_PLAF7	Protein PF3D7_1417600	PF14_0175 PF3D7_1417600	Plasmodium falciparum (isolate 3D7)	4662	immune response [GO:0006955]; toll-like receptor signaling pathway [GO:0002224]	membrane [GO:0016020]	membrane [GO:0016020]; DNA binding [GO:0003677]; transmembrane signaling receptor activity [GO:0004888]; immune response [GO:0006955]; toll-like receptor signaling pathway [GO:0002224]	DNA binding [GO:0003677]; transmembrane signaling receptor activity [GO:0004888]	GO:0002224; GO:0003677; GO:0004888; GO:0006955; GO:0016020			
PF3D7_0930800	C0H577	unreviewed	C0H577_PLAF7	Rab-GAP TBC domain-containing protein	PF3D7_0930800	Plasmodium falciparum (isolate 3D7)	4568	carbon fixation [GO:0015977]; DNA repair [GO:0006281]	membrane [GO:0016020]	membrane [GO:0016020]; magnesium ion binding [GO:0000287]; ribulose-bisphosphate carboxylase activity [GO:0016984]; carbon fixation [GO:0015977]; DNA repair [GO:0006281]	magnesium ion binding [GO:0000287]; ribulose-bisphosphate carboxylase activity [GO:0016984]	GO:0000287; GO:0006281; GO:0015977; GO:0016020; GO:0016984			
PF3D7_0310200	O77336	unreviewed	O77336_PLAF7	Phd finger protein, putative	PF3D7_0310200	Plasmodium falciparum (isolate 3D7)	4550		membrane [GO:0016020]	membrane [GO:0016020]; metal ion binding [GO:0046872]	metal ion binding [GO:0046872]	GO:0016020; GO:0046872			
PF3D7_0526600	Q8I3J9	unreviewed	Q8I3J9_PLAF7	DUF2428 domain-containing protein	PF3D7_0526600	Plasmodium falciparum (isolate 3D7)	4524								
PF3D7_1223500	A0A144A125	unreviewed	A0A144A125_PLAF7	TFIIB-type domain-containing protein	PF3D7_1223500	Plasmodium falciparum (isolate 3D7)	4505	immune response [GO:0006955]; toll-like receptor signaling pathway [GO:0002224]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]; immune response [GO:0006955]; toll-like receptor signaling pathway [GO:0002224]	signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]	GO:0002224; GO:0004888; GO:0005886; GO:0006955; GO:0038023			
PF3D7_1417200	Q8ILS4	unreviewed	Q8ILS4_PLAF7	NOT family protein, putative	PF3D7_1417200	Plasmodium falciparum (isolate 3D7)	4466	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]	CCR4-NOT core complex [GO:0030015]; P-body [GO:0000932]	CCR4-NOT core complex [GO:0030015]; P-body [GO:0000932]; molecular adaptor activity [GO:0060090]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]	molecular adaptor activity [GO:0060090]	GO:0000288; GO:0000932; GO:0030015; GO:0060090			
PF3D7_1410300	Q8ILZ2	unreviewed	Q8ILZ2_PLAF7	WD repeat-containing protein, putative	PF3D7_1410300	Plasmodium falciparum (isolate 3D7)	4405	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]	90S preribosome [GO:0030686]; nucleolus [GO:0005730]	90S preribosome [GO:0030686]; nucleolus [GO:0005730]; U3 snoRNA binding [GO:0034511]; endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]	U3 snoRNA binding [GO:0034511]	GO:0000472; GO:0000480; GO:0005730; GO:0030686; GO:0034511			
PF3D7_0703900	A0A143ZY62	unreviewed	A0A143ZY62_PLAF7	Phosphatidylinositol 4-kinase	PF3D7_0703900	Plasmodium falciparum (isolate 3D7)	4358		membrane [GO:0016020]; nucleus [GO:0005634]	membrane [GO:0016020]; nucleus [GO:0005634]; WW domain binding [GO:0050699]	WW domain binding [GO:0050699]	GO:0005634; GO:0016020; GO:0050699			
PF3D7_0422200	Q8IFP4	unreviewed	Q8IFP4_PLAF7	Erythrocyte membrane-associated antigen	PF3D7_0422200	Plasmodium falciparum (isolate 3D7)	4261								
PF3D7_0922800	C0H552	unreviewed	C0H552_PLAF7	CPSF_A domain-containing protein	PF3D7_0922800	Plasmodium falciparum (isolate 3D7)	4255	signal transduction [GO:0007165]	membrane [GO:0016020]	membrane [GO:0016020]; protein kinase binding [GO:0019901]; signal transduction [GO:0007165]	protein kinase binding [GO:0019901]	GO:0007165; GO:0016020; GO:0019901			
PF3D7_1138400	Q8IHY1	reviewed	GCYA_PLAF7	Guanylate cyclase alpha (PfGCalpha) (EC 4.6.1.2) (Guanylyl cyclase)	GCalpha PF3D7_1138400	Plasmodium falciparum (isolate 3D7)	4226	cGMP biosynthetic process [GO:0006182]; intracellular signal transduction [GO:0035556]; phospholipid translocation [GO:0045332]; signal transduction [GO:0007165]	cytoplasmic vesicle membrane [GO:0030659]; plasma membrane [GO:0005886]	cytoplasmic vesicle membrane [GO:0030659]; plasma membrane [GO:0005886]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; guanylate cyclase activity [GO:0004383]; metal ion binding [GO:0046872]; cGMP biosynthetic process [GO:0006182]; intracellular signal transduction [GO:0035556]; phospholipid translocation [GO:0045332]; signal transduction [GO:0007165]	ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; guanylate cyclase activity [GO:0004383]; metal ion binding [GO:0046872]	GO:0004383; GO:0005886; GO:0006182; GO:0007165; GO:0030659; GO:0035556; GO:0045332; GO:0046872; GO:0140326	DEVELOPMENTAL STAGE: During the parasite blood stage, highly expressed in mature schizonts and in gametocytes. {ECO:0000269|PubMed:10747978, ECO:0000269|PubMed:33500341}.		
PF3D7_0404600	Q8I1Y3	unreviewed	Q8I1Y3_PLAF7	ERYTHROCYTE MEMBRANE PROTEIN PFEMP3	PF3D7_0404600	Plasmodium falciparum (isolate 3D7)	4138		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020			
PF3D7_1366300	A0A5K1K933	unreviewed	A0A5K1K933_PLAF7	AAA domain-containing protein	PF3D7_1366300	Plasmodium falciparum (isolate 3D7)	4136								
PF3D7_0613800	C6KSY0	unreviewed	C6KSY0_PLAF7	AP2 domain transcription factor, putative	PF3D7_0613800	Plasmodium falciparum (isolate 3D7)	4109		nucleus [GO:0005634]	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700; GO:0005634			
PF3D7_0212400	O96204	unreviewed	O96204_PLAF7	Non-specific serine/threonine protein kinase	PF3D7_0212400	Plasmodium falciparum (isolate 3D7)	4091		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020			
PF3D7_1356800	Q8IDD4	unreviewed	Q8IDD4_PLAF7	Serine/threonine protein kinase, putative (EC 2.7.11.1)	PF3D7_1356800	Plasmodium falciparum (isolate 3D7)	4044	mitotic cell cycle [GO:0000278]; protein phosphorylation [GO:0006468]; regulation of cytokinesis [GO:0032465]	cAMP-dependent protein kinase complex [GO:0005952]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle pole [GO:0000922]	cAMP-dependent protein kinase complex [GO:0005952]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle pole [GO:0000922]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; mitotic cell cycle [GO:0000278]; protein phosphorylation [GO:0006468]; regulation of cytokinesis [GO:0032465]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	GO:0000278; GO:0000922; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005813; GO:0005952; GO:0006468; GO:0032465			
PF3D7_0212500	O96205	unreviewed	O96205_PLAF7	Ubiquitin carboxyl-terminal hydrolase 1	PF3D7_0212500	Plasmodium falciparum (isolate 3D7)	3990		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020			
PF3D7_0506500	C0H4C9	unreviewed	C0H4C9_PLAF7	Aurora kinase	PF3D7_0506500	Plasmodium falciparum (isolate 3D7)	3980								
PF3D7_0305100	O97236	unreviewed	O97236_PLAF7	ERYTHROCYTE MEMBRANE PROTEIN PFEMP3	PF3D7_0305100	Plasmodium falciparum (isolate 3D7)	3978		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020			
PF3D7_0632500	C6KTF7	unreviewed	C6KTF7_PLAF7	Erythrocyte membrane protein 1, PfEMP1	PF3D7_0632500	Plasmodium falciparum (isolate 3D7)	3954	adhesion of symbiont to microvasculature [GO:0020035]; antigenic variation [GO:0020033]; cell-cell adhesion [GO:0098609]; modulation by symbiont of host erythrocyte aggregation [GO:0020013]	host cell plasma membrane [GO:0020002]; infected host cell surface knob [GO:0020030]	host cell plasma membrane [GO:0020002]; infected host cell surface knob [GO:0020030]; cell adhesion molecule binding [GO:0050839]; host cell surface receptor binding [GO:0046789]; adhesion of symbiont to microvasculature [GO:0020035]; antigenic variation [GO:0020033]; cell-cell adhesion [GO:0098609]; modulation by symbiont of host erythrocyte aggregation [GO:0020013]	cell adhesion molecule binding [GO:0050839]; host cell surface receptor binding [GO:0046789]	GO:0020002; GO:0020013; GO:0020030; GO:0020033; GO:0020035; GO:0046789; GO:0050839; GO:0098609			
PF3D7_1234100	Q8I581	unreviewed	Q8I581_PLAF7	Bromodomain protein, putative	PF3D7_1234100	Plasmodium falciparum (isolate 3D7)	3896								
PF3D7_1342900	C0H5G5	unreviewed	C0H5G5_PLAF7	AP2 domain transcription factor, putative	PF3D7_1342900	Plasmodium falciparum (isolate 3D7)	3858		nucleus [GO:0005634]	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700; GO:0005634			
PF3D7_1348400	A0A5K1K8R0	unreviewed	A0A5K1K8R0_PLAF7	Homeobox-containing protein	PF3D7_1348400	Plasmodium falciparum (isolate 3D7)	3855		membrane [GO:0016020]	membrane [GO:0016020]		GO:0016020			
PF3D7_0403400	C0H487	unreviewed	C0H487_PLAF7	C2H2-type domain-containing protein	PF3D7_0403400	Plasmodium falciparum (isolate 3D7)	3825								
PF3D7_0307900	O77320	unreviewed	O77320_PLAF7	ULP_PROTEASE domain-containing protein	PF3D7_0307900	Plasmodium falciparum (isolate 3D7)	3724			DNA-binding transcription factor activity [GO:0003700]	DNA-binding transcription factor activity [GO:0003700]	GO:0003700			
PF3D7_1448500	Q8IKY8	unreviewed	Q8IKY8_PLAF7	DNMT1-RFD domain-containing protein	PF3D7_1448500	Plasmodium falciparum (isolate 3D7)	3704		nucleus [GO:0005634]	nucleus [GO:0005634]		GO:0005634			
PF3D7_1359700	C0H5J3	unreviewed	C0H5J3_PLAF7	Transcription factor with AP2 domain(S)	PF3D7_1359700	Plasmodium falciparum (isolate 3D7)	3698								
PF3D7_0619300	C6KT33	unreviewed	C6KT33_PLAF7	Allantoicase	PF3D7_0619300	Plasmodium falciparum (isolate 3D7)	3618								
